Distrito,Precio_USD,Area_m2,Cuartos
San Martin de Porres,95042,111,2
Los Olivos,156832,147,3
San Miguel,110271,82,3
Miraflores,170658,68,2
Comas,63481,90,3
San Miguel,75813,53,2
San Isidro,334187,136,2
San Martin de Porres,104458,124,2
Los Olivos,102513,109,2
Los Olivos,134143,131,3
Miraflores,135568,59,3
San Miguel,87584,63,3
Los Olivos,76232,79,3
San Martin de Porres,58557,69,2
Comas,103775,146,2
San Miguel,139586,110,2
Surco,159483,81,3
San Martin de Porres,46511,55,3
San Miguel,102127,81,2
Los Olivos,55808,58,3
Surco,192246,98,2
Miraflores,208883,84,2
Surco,134539,80,3
San Isidro,304626,133,2
Surco,275410,141,2
Miraflores,211688,91,3
Miraflores,150857,67,2
San Miguel,156295,115,3
Los Olivos,135533,145,3
Los Olivos,89740,87,3
Los Olivos,141610,130,2
San Isidro,371453,137,3
Miraflores,223796,101,3
Miraflores,203031,85,2
San Martin de Porres,97636,113,3
Los Olivos,135758,144,3
Comas,53959,76,2
San Martin de Porres,110538,119,2
San Isidro,159368,64,2
Comas,106678,145,2
Comas,57276,86,3
Surco,257440,132,2
Miraflores,150606,68,2
Surco,213838,128,2
Surco,206835,111,2
Surco,117758,69,3
Miraflores,292415,128,2
Comas,59309,78,3
San Martin de Porres,93232,96,2
Comas,40118,53,3
Surco,218718,134,3
San Isidro,318026,128,3
Comas,47498,68,2
Comas,90842,132,3
San Miguel,91332,71,3
Los Olivos,75123,79,3
San Miguel,214362,140,3
San Miguel,144956,112,2
Miraflores,211023,88,3
San Martin de Porres,108196,114,3
San Isidro,175856,67,3
San Isidro,143161,54,2
Miraflores,280033,123,2
Comas,58151,89,3
San Isidro,342115,144,3
Los Olivos,64589,71,2
Miraflores,155966,74,2
Los Olivos,115743,115,3
San Martin de Porres,115113,117,3
Miraflores,324591,147,3
Miraflores,197369,85,2
Los Olivos,134042,126,3
Surco,110302,62,3
San Isidro,335918,136,2
Surco,243709,147,2
San Isidro,148247,56,2
Los Olivos,89516,95,2
Surco,256473,137,3
San Martin de Porres,91103,111,3
Los Olivos,69874,65,3
Comas,81164,106,2
Comas,57759,78,2
San Miguel,185898,123,3
Surco,113861,59,2
San Martin de Porres,55663,61,2
San Miguel,149254,106,3
San Martin de Porres,146344,149,3
Surco,129382,70,2
Surco,101842,55,3
Miraflores,312621,127,3
Miraflores,253208,105,3
Los Olivos,55695,55,3
San Martin de Porres,43659,51,3
Miraflores,329504,136,2
San Miguel,116605,79,2
Comas,94341,145,2
San Miguel,105007,71,2
San Martin de Porres,59781,65,3
Comas,50761,68,2
San Martin de Porres,56774,60,3
San Martin de Porres,108924,117,3
Comas,48403,64,2
Miraflores,198559,89,3
Comas,85699,130,3
Comas,80043,107,3
Comas,90885,125,3
Miraflores,316630,144,3
San Martin de Porres,99496,122,2
