distrito,precio_usd,area_m2,dormitorios,banos,cocheras
Comas,116613,170,2,1,1.0
San Martin de Porres,81532,101,1,3,1.0
Los Olivos,50087,55,4,1,0.0
Surco,297341,169,4,3,2.0
Comas,72728,119,4,3,1.0
Miraflores,149423,62,4,2,1.0
Los Olivos,264822,234,1,2,1.0
San Martin de Porres,173557,195,3,3,0.0
Los Olivos,118490,113,4,3,1.0
Comas,82862,109,4,1,1.0
San Miguel,210539,175,2,1,0.0
San Martin de Porres,112146,135,4,2,1.0
Miraflores,468246,215,3,3,1.0
San Martin de Porres,246083,238,2,3,1.0
San Isidro,586783,221,3,3,2.0
San Martin de Porres,68695,70,3,1,1.0
Surco,371362,202,1,1,0.0
Surco,417360,242,3,2,1.0
Comas,57468,87,3,2,0.0
Miraflores,535893,216,3,3,0.0
Miraflores,359145,138,1,2,1.0
Surco,100315,64,3,3,1.0
Miraflores,231708,113,4,3,1.0
Comas,128851,191,4,1,0.0
Comas,67967,98,2,2,1.0
San Isidro,556216,209,3,3,1.0
San Martin de Porres,159628,185,4,3,1.0
Surco,112265,60,3,3,0.0
San Isidro,515254,221,4,3,0.0
San Miguel,293556,232,2,2,1.0
Comas,191170,248,4,2,0.0
San Isidro,356064,158,4,2,1.0
San Miguel,290094,205,2,1,1.0
San Martin de Porres,96558,105,4,2,0.0
Miraflores,269502,114,2,1,0.0
Miraflores,509602,197,3,2,1.0
Los Olivos,46021,46,4,3,2.0
San Martin de Porres,127487,127,3,1,0.0
Miraflores,591384,248,4,3,2.0
Comas,94864,156,3,1,0.0
Comas,39094,51,2,1,1.0
Surco,97814,50,2,2,1.0
Surco,92029,59,4,3,2.0
San Martin de Porres,126410,123,4,3,1.0
Surco,278706,149,4,2,0.0
Comas,44864,67,4,1,1.0
Miraflores,321848,125,2,3,1.0
Comas,97367,159,3,3,1.0
San Miguel,129845,85,2,2,0.0
Los Olivos,198105,191,2,3,0.0
San Isidro,256847,104,1,3,0.0
Miraflores,493644,220,1,1,1.0
Miraflores,406455,154,2,3,1.0
Comas,63396,102,4,1,
San Miguel,167919,121,4,2,1.0
Surco,391610,227,2,3,1.0
Comas,160361,235,4,1,
San Martin de Porres,118298,120,1,1,1.0
San Miguel,200625,129,4,3,1.0
San Isidro,304065,116,2,1,0.0
Los Olivos,214253,234,2,2,0.0
San Martin de Porres,210510,205,1,2,1.0
Los Olivos,77341,71,3,1,0.0
Surco,128767,70,4,1,0.0
Comas,134795,208,4,3,1.0
Comas,142289,189,2,2,1.0
San Isidro,142036,59,4,1,0.0
San Isidro,413982,182,4,2,0.0
Surco,301937,148,3,2,1.0
Comas,162468,226,4,1,0.0
San Martin de Porres,51211,55,3,1,1.0
Los Olivos,160538,142,2,2,0.0
Miraflores,125857,52,4,3,1.0
San Isidro,475076,207,4,2,1.0
San Miguel,111421,92,1,1,0.0
San Miguel,271472,176,3,3,0.0
Miraflores,523358,247,1,1,0.0
Los Olivos,203110,224,4,1,2.0
Surco,141080,81,3,3,1.0
San Isidro,505926,199,4,3,1.0
Los Olivos,108731,125,4,3,0.0
Los Olivos,258734,239,3,1,0.0
San Martin de Porres,130025,154,3,3,0.0
San Isidro,118524,45,2,2,0.0
Comas,59342,76,2,1,1.0
Surco,416193,203,4,1,0.0
San Isidro,650941,227,3,2,0.0
Surco,111954,67,4,1,0.0
Comas,154062,243,4,2,0.0
San Miguel,238385,194,4,3,0.0
Comas,124753,181,3,2,2.0
Los Olivos,164626,157,4,2,1.0
Surco,179023,106,3,1,
Comas,129202,202,2,3,1.0
Miraflores,294956,134,4,3,1.0
Comas,98458,151,2,3,0.0
Miraflores,423314,188,2,1,1.0
Los Olivos,145139,155,2,2,1.0
San Miguel,337564,246,1,2,0.0
San Martin de Porres,109943,109,3,3,
San Miguel,205562,130,2,3,1.0
Surco,137913,79,1,3,0.0
Surco,195119,100,1,3,0.0
San Martin de Porres,75039,95,1,1,1.0
Surco,79088,41,2,3,0.0
San Miguel,181305,147,3,3,0.0
San Martin de Porres,161713,164,1,3,2.0
Comas,154250,225,3,3,0.0
San Miguel,189522,128,4,1,1.0
Comas,108880,168,2,2,
San Martin de Porres,116417,118,1,2,1.0
Comas,37179,56,1,2,0.0
San Isidro,328731,117,2,3,1.0
San Martin de Porres,179702,182,1,3,0.0
San Martin de Porres,155443,202,2,1,1.0
Comas,120973,201,4,2,1.0
Los Olivos,102598,98,1,1,2.0
Los Olivos,213281,245,3,3,1.0
Surco,207751,102,1,3,
Surco,341715,187,4,1,1.0
San Martin de Porres,185435,184,3,1,2.0
Los Olivos,98099,97,3,3,0.0
Los Olivos,108808,107,4,2,0.0
San Miguel,271876,212,2,3,1.0
Surco,315229,175,1,3,1.0
San Martin de Porres,233994,233,3,3,
Miraflores,391890,164,2,2,1.0
Miraflores,370632,153,4,2,1.0
Surco,265497,165,2,2,1.0
San Martin de Porres,127499,147,4,2,2.0
Miraflores,123604,54,1,2,1.0
San Miguel,59696,45,3,2,0.0
Surco,168781,82,4,1,2.0
San Isidro,476077,172,3,2,1.0
San Isidro,512657,189,3,2,0.0
Surco,326639,176,1,2,1.0
San Isidro,253219,112,3,1,1.0
Comas,110012,155,4,2,
San Martin de Porres,133545,151,2,1,1.0
Los Olivos,92359,97,1,2,
Surco,265241,155,3,3,0.0
San Martin de Porres,191953,188,1,2,0.0
Miraflores,227676,115,3,3,2.0
San Isidro,157802,57,4,2,1.0
San Isidro,346961,147,2,1,0.0
San Miguel,205502,169,3,3,1.0
Comas,154949,230,4,1,1.0
Los Olivos,89518,82,4,1,0.0
San Martin de Porres,102006,129,1,3,1.0
San Miguel,171511,140,2,3,0.0
San Martin de Porres,196658,219,3,3,1.0
San Miguel,302291,214,2,1,0.0
San Martin de Porres,66720,66,1,2,1.0
Comas,138165,203,2,1,0.0
Los Olivos,142537,139,2,1,0.0
Surco,207762,101,4,3,0.0
San Miguel,144098,112,2,3,1.0
Comas,139917,224,2,2,1.0
San Martin de Porres,176195,187,2,2,1.0
San Miguel,101601,83,2,3,2.0
Comas,85624,107,4,3,1.0
San Isidro,344047,124,1,2,0.0
Surco,274517,155,4,1,
Los Olivos,232847,206,1,3,1.0
Comas,94078,124,2,3,0.0
San Isidro,694291,242,4,1,0.0
Miraflores,506841,238,4,3,1.0
Miraflores,636608,242,1,3,1.0
San Miguel,344944,234,2,1,1.0
Miraflores,193636,99,4,1,0.0
San Martin de Porres,46644,49,1,1,0.0
Los Olivos,74951,81,1,2,1.0
San Isidro,322671,146,4,2,2.0
San Isidro,255520,105,2,1,0.0
Miraflores,339074,135,3,2,1.0
San Isidro,552871,218,3,2,0.0
Comas,76580,96,4,1,0.0
San Miguel,175502,123,2,2,1.0
Los Olivos,144238,140,4,2,0.0
San Miguel,236283,189,4,2,1.0
Los Olivos,175852,166,1,1,2.0
San Martin de Porres,188974,203,3,1,1.0
Surco,301522,183,4,3,1.0
Los Olivos,261815,245,1,3,0.0
Los Olivos,95281,100,4,1,0.0
San Isidro,261683,93,1,3,1.0
San Miguel,188515,126,3,3,
San Isidro,165693,70,2,2,1.0
Los Olivos,78479,71,3,1,2.0
San Isidro,148837,68,2,2,1.0
San Martin de Porres,93955,108,3,1,0.0
San Miguel,259654,211,3,2,
Surco,309156,196,4,2,0.0
Surco,395053,232,1,1,1.0
Miraflores,499426,196,4,3,1.0
San Isidro,455409,170,4,1,1.0
San Miguel,171104,112,3,2,1.0
Surco,413694,212,1,2,1.0
San Miguel,127096,91,3,3,1.0
San Miguel,381124,239,2,3,0.0
Surco,211391,116,3,3,0.0
Surco,91088,51,3,2,0.0
Miraflores,504100,194,3,2,1.0
Los Olivos,146061,155,1,3,1.0
Surco,175113,91,3,3,0.0
San Martin de Porres,87342,107,2,3,1.0
Surco,283303,156,4,1,1.0
San Martin de Porres,126715,128,4,2,0.0
San Miguel,180219,114,2,3,1.0
San Miguel,314084,221,2,3,1.0
Comas,64737,96,3,1,0.0
San Miguel,66674,53,1,3,1.0
Los Olivos,223065,197,2,1,1.0
Surco,245217,141,4,2,1.0
San Miguel,283158,205,3,2,1.0
San Isidro,566034,249,1,3,0.0
San Martin de Porres,77732,89,1,1,0.0
San Miguel,242405,201,2,2,1.0
San Miguel,48304,40,1,3,0.0
San Martin de Porres,187526,191,3,3,1.0
Surco,143443,71,4,1,0.0
Surco,171979,86,1,1,0.0
Comas,57595,87,1,2,1.0
Los Olivos,60576,61,2,2,1.0
Miraflores,459730,220,3,2,1.0
Miraflores,274645,126,4,2,0.0
