pais,region,tipo_propiedad,precio_usd,superficie_m2,habitaciones,banos
Perú,Lima,Departamento,83926,64,1,1
Perú,Lima,Departamento,260800,264,4,1
Perú,Arequipa,Casa,151301,180,2,2
Perú,Lima,Casa,322899,237,4,2
Perú,Arequipa,Casa,131534,138,3,3
Perú,Lima,Casa,349956,237,2,2
Perú,La Libertad,Departamento,126315,157,4,1
Perú,Lima,Departamento,191700,184,3,2
Perú,Piura,Casa,73602,63,1,2
Perú,Lima,Casa,214694,141,3,1
Perú,La Libertad,Departamento,195110,255,2,2
Perú,Lima,Casa,248347,155,1,3
Perú,La Libertad,Casa,210236,211,4,2
Perú,Cusco,Departamento,204812,249,4,1
Perú,Piura,Departamento,225939,257,3,1
Perú,Arequipa,Departamento,192838,237,1,1
Perú,La Libertad,Departamento,131900,138,4,1
Perú,Lima,Casa,196766,112,1,3
Perú,La Libertad,Departamento,50566,54,2,1
Perú,Piura,Departamento,94842,121,1,3
Perú,Lima,Casa,146481,86,4,2
Perú,La Libertad,Departamento,187202,276,2,3
Perú,La Libertad,Casa,341205,296,3,3
Perú,Arequipa,Departamento,90090,139,1,3
Perú,Lima,Departamento,322158,290,4,2
Perú,Lima,Departamento,348669,286,1,1
Perú,Lima,Departamento,302916,292,2,2
Perú,La Libertad,Departamento,270147,294,4,2
Perú,La Libertad,Casa,263953,299,1,3
Perú,Piura,Departamento,144034,170,1,1
Perú,La Libertad,Departamento,198449,247,1,2
Perú,Lima,Departamento,317541,283,3,3
Perú,Lima,Casa,446971,265,1,2
Perú,Piura,Casa,57141,61,2,3
Perú,Lima,Departamento,227805,233,1,2
Perú,Arequipa,Casa,128916,136,1,1
Perú,Lima,Casa,158448,102,4,2
Perú,Lima,Casa,399794,232,3,1
Perú,Cusco,Casa,129214,118,2,2
Perú,Arequipa,Casa,227640,193,4,3
Perú,Lima,Departamento,64668,52,3,3
Perú,Cusco,Departamento,147308,196,3,1
Perú,Cusco,Casa,107507,88,1,3
Perú,Lima,Departamento,318674,227,2,2
Perú,Lima,Casa,339283,193,1,1
Perú,Lima,Casa,301714,189,4,3
Perú,Lima,Departamento,191833,148,4,3
Perú,La Libertad,Casa,203021,169,4,3
Perú,Piura,Casa,238714,215,2,3
Perú,Lima,Departamento,211249,148,2,2
Perú,Arequipa,Casa,233881,212,1,1
Perú,Lima,Casa,95170,70,4,3
Perú,Cusco,Casa,86731,82,3,3
Perú,Arequipa,Casa,309209,287,2,1
Perú,Lima,Casa,115448,76,1,2
Perú,Arequipa,Departamento,220884,241,4,1
Perú,Lima,Casa,145116,84,4,1
Perú,Piura,Casa,256040,270,2,3
Perú,Cusco,Departamento,54446,73,2,1
Perú,Arequipa,Casa,236556,274,1,1
Perú,Lima,Departamento,120797,116,1,2
Perú,Piura,Casa,124020,116,4,2
Perú,Arequipa,Casa,178054,200,3,2
Perú,La Libertad,Departamento,132045,153,3,2
Perú,Lima,Departamento,295320,219,3,2
Perú,La Libertad,Departamento,87595,109,1,1
Perú,Lima,Casa,500692,287,4,3
Perú,Lima,Casa,192076,147,3,3
Perú,Lima,Departamento,286810,235,1,2
Perú,Arequipa,Casa,83058,98,2,3
Perú,Lima,Casa,236081,150,1,1
Perú,Lima,Casa,216348,158,2,3
Perú,Cusco,Casa,89609,101,2,2
Perú,Lima,Departamento,184209,169,4,2
Perú,Lima,Departamento,379693,267,3,3
Perú,Cusco,Departamento,123790,178,1,3
Perú,Lima,Casa,282882,167,4,1
Perú,Lima,Casa,406610,238,3,1
Perú,Arequipa,Departamento,175502,244,4,3
Perú,La Libertad,Departamento,52817,78,1,3
Perú,Lima,Casa,403212,239,4,2
Perú,La Libertad,Departamento,66071,88,2,2
Perú,Arequipa,Casa,72383,59,4,2
Perú,Lima,Casa,547308,299,4,1
Perú,Arequipa,Departamento,44364,53,4,3
Perú,Piura,Casa,194123,177,4,2
Perú,Arequipa,Departamento,188912,210,3,1
Perú,Arequipa,Departamento,178179,210,3,1
Perú,Lima,Departamento,92030,95,3,2
Perú,Cusco,Departamento,103148,139,2,2
Perú,Lima,Casa,233515,164,4,2
Perú,Cusco,Departamento,114178,124,4,1
Perú,La Libertad,Departamento,148414,213,1,3
Perú,Piura,Casa,83874,85,3,3
Perú,Piura,Departamento,47413,61,1,3
Perú,La Libertad,Departamento,73376,79,2,1
Perú,Lima,Departamento,77983,68,4,1
Perú,Piura,Casa,55960,58,2,3
Perú,Piura,Departamento,251814,299,1,1
Perú,Lima,Departamento,293763,229,4,1
Perú,La Libertad,Departamento,58888,88,2,2
Perú,Lima,Departamento,200400,171,3,1
Perú,Lima,Casa,385121,288,2,2
Perú,Arequipa,Departamento,186069,279,1,2
Perú,Lima,Departamento,176193,171,1,1
Perú,Lima,Casa,516326,289,2,1
Perú,Piura,Departamento,82821,94,2,3
Perú,Lima,Casa,389921,231,2,2
Perú,Lima,Casa,343136,244,2,2
Perú,Lima,Casa,329012,249,1,3
Perú,Cusco,Departamento,133653,141,3,1
Perú,Lima,Departamento,251429,215,2,1
Perú,Piura,Departamento,88815,96,2,1
Perú,Piura,Departamento,174070,213,4,1
Perú,Arequipa,Departamento,84538,98,3,1
Perú,Arequipa,Casa,62757,52,1,3
Perú,Lima,Casa,117229,65,4,1
Perú,Lima,Casa,327455,213,2,2
Perú,Lima,Departamento,97629,90,3,2
Perú,Lima,Departamento,243049,210,1,1
Perú,Lima,Departamento,259110,183,4,1
Perú,Arequipa,Casa,71980,59,2,3
Perú,Lima,Departamento,338788,297,1,2
Perú,Piura,Departamento,49807,60,3,1
Perú,Piura,Departamento,205267,226,2,1
Perú,Lima,Departamento,195437,198,2,1
Perú,Arequipa,Departamento,140764,151,3,1
Perú,Cusco,Casa,248285,251,1,2
Perú,Lima,Departamento,109187,100,4,2
Perú,La Libertad,Casa,68972,81,3,3
Perú,Cusco,Casa,266408,231,3,2
Perú,La Libertad,Casa,303624,285,2,3
Perú,Lima,Casa,144999,96,1,1
Perú,Arequipa,Departamento,211813,228,4,2
Perú,Lima,Casa,195551,131,3,3
Perú,Piura,Casa,311654,298,4,3
Perú,Lima,Departamento,212959,155,1,1
Perú,Lima,Casa,301685,194,4,1
Perú,Piura,Departamento,181083,243,3,3
Perú,Lima,Departamento,163497,160,3,3
Perú,Lima,Casa,77540,57,4,1
Perú,La Libertad,Departamento,174138,204,2,1
Perú,Lima,Departamento,72876,70,4,2
Perú,Lima,Departamento,121130,119,1,2
Perú,La Libertad,Departamento,94695,127,3,1
Perú,Lima,Departamento,219323,170,4,2
Perú,Lima,Casa,137458,110,4,1
Perú,Lima,Departamento,242851,229,3,2
Perú,Lima,Casa,416990,264,2,1
Perú,Lima,Departamento,107509,105,3,3
Perú,La Libertad,Departamento,187128,288,2,2
Perú,Lima,Departamento,64661,64,3,1
Perú,Lima,Departamento,319068,234,2,2
Perú,Arequipa,Departamento,145448,194,1,2
Perú,La Libertad,Departamento,130223,195,3,2
Perú,Arequipa,Casa,219510,217,3,2
Perú,Lima,Casa,378090,229,2,3
Perú,Lima,Departamento,308940,247,1,1
Perú,Lima,Casa,166775,119,4,2
Perú,Lima,Casa,193934,143,3,1
Perú,Lima,Departamento,92559,80,4,3
Perú,La Libertad,Casa,326468,269,3,2
Perú,Piura,Casa,336419,297,2,1
Perú,Cusco,Departamento,146615,185,1,1
Perú,Lima,Casa,177076,117,1,1
Perú,Arequipa,Departamento,123110,139,2,1
Perú,Arequipa,Departamento,110648,149,3,1
Perú,Lima,Casa,93829,59,2,2
Perú,Lima,Casa,187117,133,1,1
Perú,La Libertad,Departamento,151853,192,3,3
Perú,Lima,Departamento,160326,118,4,2
Perú,Lima,Casa,462048,252,4,3
Perú,Lima,Casa,181531,113,4,1
Perú,Lima,Departamento,293785,278,2,3
Perú,Lima,Departamento,168866,132,2,2
Perú,Lima,Departamento,104502,91,4,3
Perú,Cusco,Casa,248890,228,1,3
Perú,Lima,Departamento,228375,202,3,3
Perú,Arequipa,Departamento,109133,153,3,3
Perú,Lima,Departamento,241162,184,2,3
Perú,La Libertad,Departamento,257039,293,3,1
Perú,Lima,Departamento,370772,278,1,2
Perú,Lima,Casa,91818,59,2,1
Perú,Lima,Departamento,237501,208,1,3
Perú,La Libertad,Departamento,146952,206,4,1
Perú,Cusco,Departamento,141378,164,4,2
Perú,Lima,Departamento,206291,197,2,2
Perú,Lima,Departamento,105427,96,3,2
Perú,Arequipa,Casa,281368,259,3,3
Perú,Piura,Casa,324202,289,4,1
Perú,Cusco,Casa,310803,290,2,1
Perú,Lima,Departamento,359166,255,2,3
Perú,Lima,Casa,279381,150,2,2
Perú,La Libertad,Departamento,82842,112,3,3
Perú,Lima,Departamento,114331,102,4,1
Perú,Lima,Departamento,96694,84,1,2
Perú,Piura,Casa,179645,184,2,3
Perú,Lima,Departamento,277812,236,3,2
Perú,Lima,Departamento,265888,229,4,1
Perú,Lima,Departamento,358830,284,4,2
Perú,Cusco,Departamento,123180,130,1,2
Perú,La Libertad,Departamento,166368,238,3,1
Perú,Lima,Casa,399779,264,4,3
Perú,Lima,Casa,127762,78,1,2
Perú,La Libertad,Departamento,49184,67,3,3
Perú,Arequipa,Casa,277643,269,2,2
Perú,La Libertad,Casa,172854,178,3,3
Perú,La Libertad,Casa,302538,251,2,1
Perú,Lima,Casa,137276,81,1,1
Perú,Arequipa,Departamento,186230,265,3,1
Perú,Arequipa,Departamento,236799,288,3,1
Perú,Arequipa,Casa,246239,211,4,2
Perú,Arequipa,Casa,350019,284,4,1
Perú,Lima,Casa,394446,272,2,3
Perú,Arequipa,Departamento,182280,200,4,1
Perú,La Libertad,Departamento,205067,237,1,3
Perú,Arequipa,Departamento,255841,283,3,3
Perú,Lima,Casa,79023,54,4,2
Perú,Lima,Departamento,235445,221,2,2
